Author,Date,Text,Comment,Retweet,Like
@realpocketsci,5 Eki,@bryan_johnson How do we establish all the world’s pressing problems? Is it guided by 1) @ycombinator’s “Request for Startups” 2) @Wikipedia’s “List of Global Issues” 3) @Gartner_inc’s hype cycle 4) @Wikipedia’s “List of unsolved problems”. Is there a site that collected them??,0,0,0
@jakozloski,4 Eki,Request for startup: @unsplash for lightroom presets,0,0,0
@AlphaVCcoms,4 Eki,#Twitter Fully Engaged in #CrimesAgainstHumanity campaign Blocking Banning Shadowbanning & Censoring Deplatforming via Shadowbanning of Breakthrough CleanEnergy Innovator Startup #AlphaOmegaEnergy. 100% Refuse to respond/Engage for years of requests to @twittersupport also 2 stop,0,1,0
@ikirigin,4 Eki,Don't overthink your startup investor updates.  - stick to a routine - use numbers whenever possible - be transparent optimistic and concise - link to deeper dives - link to archives of past updates - make clear requests - give kudos for social proof and pressure.,1,1,4
@Contextify1,3 Eki,Request for startup: literally anything that disrupts literally any part of the credit bureau triopoly,0,1,6
@fundclockpro,3 Eki,Visit http://fundclock.com to request for donations for any medical emergencies Education and Research fund/grant Business Startups and Financing Charity works Religious donations etc. You can also send us a Dm on IG: @fundclock or Twitter @fundclockpro,0,3,4
@Optum,-,World Mental Health Day helps raise awareness and destigmatise mental illness around the globe. Learn how Optum is helping in these efforts with our Global Employee Assistance Programme. https://optum.co/dv2u9,0,6,36
@adarsh_the_king,3 Eki,@drashwathcn Dear Sir This time's 'Startup Unnati' is restricted to SC/ST categories. This is no doubt noble & empowering & is appreciated. Can we humbly request to also have one more 'Startup Unnathi' for Genral category (other high potentials from our state can also shine),1,0,0
@nitinsanson,3 Eki,Startups (like sutli bomb manufacturing/patakhe wali reel) are also going to be facilitated on subsidized loans for ex-terrorists...  people in jammu who shunned use of sutli/patakhe wali reel can request governor to offer them jobs too as they too left the path of violence,1,0,2
@ingus_kering,3 Eki,Kayanya untuk startup yg masih growing saat ini belum ada request ke finance / accounting. Tapi nanti kalau ada akan aku tweet thanks for offeringnya kak.  Sudah aku bookmark,1,0,0
@LabOutsourcing,2 Eki,Our client is requesting an R&D facility for incubating his startup within the food safety sector. Based in Hyderabad.  Apply for free to this request in our webpage. Ref#: EX288.,0,0,1
@GcfrMayor,2 Eki,#ConfirmbyAmazingboy i need 150k to startup my hair stylist(barbing)shop so as to be able to Carter for my self friends and my family  ! I will be very grateful if my request is favourably considered..,0,0,1
@guiporto,2 Eki,Request for startup [THREAD]  Road-office accommodations mailing list  Finding a great place to live+work for a month is a hassle. I’d pay to receive an email with top picks.,1,0,0
@jesskjohn_,2 Eki,Monthly investor updates are important for every early stage startup. All reports should have:   Clear and Concise information  Consistent KPIs  Requests at the top  Notable events  All information (no hiding),0,1,0
@epicsuperstar,2 Eki,Request for startups: trustless pools for farmers to dilute gas fee impact,0,0,0
@samsuedois,1 Eki,@journo_request I have two black founders of an exciting London based tech startup available for comments speaking opps & other content on the topics of entrepreneurship gaming adtech BLM business etc. DM to talk more! :) #journorequest #journorequests #BlackHistoryMonth,0,1,1
@StartDigestDub,1 Eki,How to convince your boss to send you to an event:   1: Familiarize yourself with the agenda and speakers 2: Create a sample agenda with a list of workshops and sessions you'd like to attend 3: Outline your top 3 reasons for attending 4: Send a formal request letter to your boss,0,2,1
@tibudiyanto,1 Eki,Kalo hackathon nya ada promptnya lucu ya ga si? kayak Request for Startup terus harus ngesolve problem2 yg sudah disediakan.,1,0,0
@GCP_Incidents,1 Eki,The service error rate was below 1% for Hangouts requests within the product including sending messages.  ### Meet Google Meet experienced error rates up to 23% of requests between 18:02 and 18:23. Affected users observed call startup failures which affected 85% of  32/,1,0,0
@arao0500,30 Eyl,Dear Ma'am  Request you to cover the following  1. Did he have any fears initially how did he overcome mainly fear of failure?  2. It's difficult to obtain funds for a startup. So can a person who has no penny to his name think of becoming an entrepreneur?,1,0,1
@AllianceFintech,30 Eyl,#FinTech startup @PurpleDotPrice is offering a solution to try and win over shoppers.  It has designed a plug-in for websites that will allow potential customers to request retailers to drop the price of an item by anything between 10%-20%.  http://ow.ly/Usfa50BFjVQ,0,3,3
@Ecybertechjdr,30 Eyl,@Omkar_Raii Sir thanks for waving 4 Months’ Rental to the IT Companies Operating from STPI. I request to you please increase this time for at least 4 months more so that small startup can survive. Right now small startups facing very hard time.,1,1,0
@Ecybertechjdr,30 Eyl,@stpiindia Hon. Minister Shri. Ravi Shankar Prasad @rsprasad  Sir thanks for waving 4 Months’ Rental to the IT Companies Operating from STPI. I request to you please increase this time for at least 4 months more so that small startup can survive.,0,0,1
@kalenjordan,30 Eyl,Request for startup: chatroulette for professionals,3,0,3
@kapoorvineet,30 Eyl,A problem with audio during phone calls on iPhone 7 models with iOS 11.3. Apple did not return a request for comment by the time the article was published. As the disease progresses the phone can get stuck displaying the Apple logo on startup hence the name “loop disease.”  2/2,0,0,0
@TropicsMagazine,30 Eyl,The @tropicsbusiness is in exactly 14 days ! Are you readyyyyyy ?  Request your invitation on Eventbrite or browse http://tropicsbusinesssummit.com for more info! See you soon #TropicsSummitFromHome #Africa #Afrique #Events #Tech #Tourism #Agribusiness #STEM #startups,0,2,3
